subject,ONS,OHA,ODQ
sub-02_ses-01_task-RSVP_run-01_eeg.edf,100,47.0049611734254,36.7512402933563
sub-10_ses-01_task-RSVP_run-01_eeg.edf,100,20.2829821969991,30.0707455492498
sub-11_ses-01_task-RSVP_run-01_eeg.edf,100,19.847901506177,29.9619753765443
